"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","checkpoint","ckpt_freq","data.data","data.eval_instruct_data","data.instruct.dynamic_chunk_fn_call","data.instruct.shuffle","data.instruct_data","data.shuffle","eval_freq","log_freq","lora.dropout","lora.enable","lora.rank","lora.scaling","max_norm","max_steps","model_id_or_path","no_ckpt","no_eval","num_ckpt_keep","num_microbatches","optim.lr","optim.pct_start","optim.weight_decay","run_dir","save_adapters","seed","seq_len","wandb.key","wandb.offline","wandb.project","wandb.run_name","world_size","eval/eval_loss","eval/perplexity","eval/train_loss","train/allocated_mem","train/avg_wps","train/eta_in_seconds","train/loss","train/lr","train/peak_allocated_mem","train/percent_done","train/wps"
"test-S-ContrAgreements","crashed","-","","","2024-08-12T10:26:11.000Z","26474","","1","true","200","","/mnt/lawbotica-disk-1/datasets/S_ContrAgreements/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_ContrAgreements/train.jsonl","false","200","1","0","true","16","2","1","2400","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","12","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/adapter_S_ContrAgreements","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-S-ContrAgreements","2","0.2421937733888626","1.1827898025512695","0.17146112024784088","8.13978385925293","519.8768090641344","11424.24492966239","0.24087455868721008","0.00001376515692447808","13.729666233062744","69.79166666666667","635.0656451988016"
"test-ST-Complaints","crashed","-","","","2024-08-08T04:17:09.000Z","7958","","1","true","100","","/mnt/lawbotica-disk-1/datasets/ST_Complaints/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/ST_Complaints/train.jsonl","false","100","1","0","true","16","2","1","1000","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","12","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/adapter_ST_Complaints","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-ST-Complaints","2","0.4772404432296753","1.3920783996582031","0.01439235545694828","8.13978385925293","626.7322603283483","5176.105021784638","0.06350066512823105","0.00002225155211184604","13.729666233062744","60.4","681.5321484593815"
"test-ST-Complaints","crashed","-","","","2024-08-07T15:13:10.000Z","199","","1","true","100","","/mnt/lawbotica-disk-1/datasets/ST_Complaints/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/ST_Complaints/train.jsonl","false","100","1","0","true","16","2","1","1000","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","12","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/adapter_ST_Complaints","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-ST-Complaints","2","","","","8.13978385925293","676.0251798080548","11960.359231435335","0.4021326601505279","0.000010511538717185446","13.729666233062744","1.3","702.2182636466664"
"test-S-Court_Opinions","finished","-","","","2024-08-07T03:58:45.000Z","33205","","1","true","200","","/mnt/lawbotica-disk-1/datasets/S_Court_Opinions/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_Court_Opinions/train.jsonl","false","200","1","0","true","16","2","1","2400","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","12","1","0.00004","0.05","0.1","/mnt/lawbotica-disk-1/runs/adapter_S_Court_Opinions","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-S-Court_Opinions","2","0.3675225079059601","1.290135383605957","0.13303960859775543","8.639791488647461","593.219268155286","0","0.13303960859775543","1.6000000000000002e-10","13.729666233062744","100","18.86993905692046"
"test-S-CourtComplaints_r_16","crashed","-","","","2024-08-06T12:42:35.000Z","7731","","1","true","200","","/mnt/lawbotica-disk-1/datasets/S_CourtComplaints/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_CourtComplaints/train.jsonl","false","200","1","0","true","16","2","1","1600","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","8","1","0.00004","0.05","0.1","/mnt/lawbotica-disk-1/runs/adapter_S_CourtComplaints_r_16","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-S-CourtComplaints_r_16","2","0.4058785140514374","1.3248955011367798","0.5536494255065918","8.13978385925293","566.1035881888403","15469.33844390113","0.3739752173423767","0.00003192231730620709","13.729666233062744","33.1875","674.844783889329"
"test-S-CourtComplaints_r_16","crashed","-","","","2024-08-06T12:30:16.000Z","390","","1","true","200","","/mnt/lawbotica-disk-1/datasets/S_CourtComplaints/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_CourtComplaints/train.jsonl","false","200","1","0","true","16","2","1","1600","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","8","2","0.00004","0.05","0.1","/mnt/lawbotica-disk-1/runs/adapter_S_CourtComplaints_r_16","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-S-CourtComplaints_r_16","2","","","","8.13978385925293","634.8446960398051","40982.924110889435","0.7681968212127686","0.000003407864441621952","13.768728733062744","0.75","675.9757865046033"
"test-S-CourtComplaints_r_16","crashed","-","","","2024-08-06T12:00:19.000Z","34","","1","true","200","","/mnt/lawbotica-disk-1/datasets/S_CourtComplaints/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_CourtComplaints/train.jsonl","false","200","1","0","true","16","2","1","1600","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","8","1","0.00004","0.05","0.1","/mnt/lawbotica-disk-1/runs/adapter_S_CourtComplaints_r_16","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-S-CourtComplaints_r_16","2","","","","","","","","","","",""
"test-S-Complaints-r-16","finished","-","","","2024-08-02T06:27:22.000Z","26712","","1","true","100","","/mnt/lawbotica-disk-1/datasets/S_Complaints/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_Complaints/train.jsonl","false","200","1","0","true","16","2","1","1600","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","8","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/adapter_S_Complaints_r_16","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-S-Complaints-r-16","2","0.2961396872997284","1.227854609489441","0.16411903500556946","8.639791488647461","491.8705912947717","0","0.16411903500556946","2.4e-10","13.729666233062744","100","10.759998294809126"
"test-S-CourtComplaints","finished","-","","","2024-08-01T11:28:06.000Z","18029","","1","true","100","","/mnt/lawbotica-disk-1/datasets/S_CourtComplaints/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_CourtComplaints/train.jsonl","false","200","1","0","true","64","2","1","1200","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","7","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/adapter_S_CourtComplaints","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-S-CourtComplaints","2","0.2967173755168915","1.228346347808838","0.19596964120864868","9.588029861450195","547.7755228850804","0","0.19596964120864868","2.4e-10","14.56071710586548","100","13.237280850769384"
"test-07-30-run1","finished","-","","","2024-07-30T07:18:15.000Z","24470","","1","true","100","","/mnt/lawbotica-disk-1/datasets/Complaints_all_1/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/Complaints_all_1/train.jsonl","false","100","1","0","true","64","2","1","1200","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","3","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/test-07_30/new-test-1","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-07-30-run1","2","0.28886958956718445","1.2216826677322388","0.33035141229629517","9.588029861450195","402.4194969035232","0","0.33035141229629517","2.4e-10","14.56071710586548","100","11.193322652926238"
"new_test_2024_07_30_1","crashed","-","","","2024-07-30T06:32:25.000Z","1500","","1","true","10","","/mnt/lawbotica-disk-1/datasets/Complaints_all_1/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/Complaints_all_1/train.jsonl","false","10","1","0","true","64","2","1","100","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","3","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/test-11","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","new_test_2024_07_30_1","2","0.4568112194538117","1.3725048303604126","0.3978900909423828","9.088022232055664","150.79030929121635","4454.822084771263","0.5627897381782532","0.00005727020697069067","14.56071710586548","18","630.0374775769769"
"new_test_2024_07_30","crashed","-","","","2024-07-30T02:28:54.000Z","960","","1","true","10","","/mnt/lawbotica-disk-1/datasets/Complaints_all_1/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/Complaints_all_1/train.jsonl","false","10","1","0","true","64","2","1","100","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","3","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/test-10","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","new_test_2024_07_30","2","0.4563855826854706","1.372099995613098","0.39888203144073486","9.088022232055664","169.4922172652454","3963.273422453138","0.5605448484420776","0.00005727020697069067","14.56071710586548","18","689.9001002189927"
"new_test_2024_07_30","finished","-","","","2024-07-30T02:20:47.000Z","75","","2","true","10","","/mnt/lawbotica-disk-1/datasets/Complaints_all_1/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/Complaints_all_1/train.jsonl","false","10","1","0","true","64","2","1","100","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","3","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/test-9","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","new_test_2024_07_30","2","","","","10.087419509887695","374.3807102945259","4332.530911445618","0.6946662664413452","0.0000023999999999999978","20.055628299713135","1","374.3807102945259"
"test2_300 steps","finished","-","","","2024-07-26T18:27:13.000Z","927","","1","true","25","","/mnt/lawbotica-disk-1/datasets/complaints_summarize/validation.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/complaints_summarize/train.jsonl","false","25","1","0","true","64","2","1","50","/mnt/lawbotica-disk-1/models/Mistral-7B-v0.3/","false","false","3","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/test-8","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test2_300 steps","2","0.4320605993270874","1.3491592407226562","0.2754725217819214","9.588029861450195","454.88592840917914","0","0.2754725217819214","2.4e-10","14.56071710586548","100","65.32042607347927"
"test2_300 steps","finished","-","","","2024-07-25T21:33:38.000Z","83","","1","true","1","","/mnt/lawbotica-disk-1/datasets/complaints_summarize/validation.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/complaints_summarize/train.jsonl","false","2","1","0","true","64","2","1","2","/mnt/lawbotica-disk-1/models/Mistral-7B-Instruct-v0.3/","false","false","3","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/test-7","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test2_300 steps","2","","","","9.088022232055664","320.5117194006363","25.559127807617188","0.9773146510124208","0.00003247749045464852","13.92656183242798","50","320.5117194006363"
"test2_300 steps","crashed","-","","","2024-07-25T21:31:39.000Z","59","","1","true","50","","/mnt/lawbotica-disk-1/datasets/complaints_summarize/validation.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/complaints_summarize/train.jsonl","false","50","1","0","true","64","2","1","300","/mnt/lawbotica-disk-1/models/Mistral-7B-Instruct-v0.3/","false","false","3","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/test-6","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test2_300 steps","2","","","","9.088022232055664","320.22523569469774","7649.016151666641","0.9773146510124208","0.0000023999999999999978","13.92656183242798","0.3333333333333333","320.22523569469774"
"test2_300 steps","finished","-","","","2024-07-25T09:37:43.000Z","4216","","1","true","50","","/mnt/lawbotica-disk-1/datasets/complaints_summarize/validation.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/complaints_summarize/train.jsonl","false","50","1","0","true","64","2","1","300","/mnt/lawbotica-disk-1/models/Mistral-7B-Instruct-v0.3/","false","false","3","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/test-5","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test2_300 steps","2","0.341808021068573","1.2673438787460327","0.20827680826187137","9.588029861450195","586.9729281941308","0","0.20827680826187137","2.4e-10","14.56071710586548","100","75.13653390303763"
"test1_50 steps","crashed","-","","","2024-07-25T09:28:52.000Z","390","","1","true","50","","/mnt/lawbotica-disk-1/datasets/complaints_summarize/validation.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/complaints_summarize/train.jsonl","false","50","1","0","true","64","2","1","50","/mnt/lawbotica-disk-1/models/Mistral-7B-Instruct-v0.3/","false","false","3","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/test-4","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test1_50 steps","2","","","","9.088022232055664","661.0027499294299","260.2591290556151","0.23260869085788727","0.00002457372567570083","14.56071710586548","58","683.6752890131947"
